timestamp,value,classification,Date,shift,change
1517463000,30,Fear,2018-02-01,,None→Fear
1517549400,15,Extreme Fear,2018-02-02,Fear,Fear→Extreme Fear
1517635800,40,Fear,2018-02-03,Extreme Fear,Extreme Fear→Fear
1517722200,24,Extreme Fear,2018-02-04,Fear,Fear→Extreme Fear
1517808600,11,Extreme Fear,2018-02-05,Extreme Fear,
1517895000,8,Extreme Fear,2018-02-06,Extreme Fear,
1517981400,36,Fear,2018-02-07,Extreme Fear,Extreme Fear→Fear
1518067800,30,Fear,2018-02-08,Fear,
1518154200,44,Fear,2018-02-09,Fear,
1518240600,54,Neutral,2018-02-10,Fear,Fear→Neutral
1518327000,31,Fear,2018-02-11,Neutral,Neutral→Fear
1518413400,42,Fear,2018-02-12,Fear,
1518499800,35,Fear,2018-02-13,Fear,
1518586200,55,Greed,2018-02-14,Fear,Fear→Greed
1518672600,71,Greed,2018-02-15,Greed,
1518759000,67,Greed,2018-02-16,Greed,
1518845400,74,Greed,2018-02-17,Greed,
1518931800,63,Greed,2018-02-18,Greed,
1519018200,67,Greed,2018-02-19,Greed,
1519104600,74,Greed,2018-02-20,Greed,
1519191000,54,Neutral,2018-02-21,Greed,Greed→Neutral
1519277400,44,Fear,2018-02-22,Neutral,Neutral→Fear
1519363800,39,Fear,2018-02-23,Fear,
1519450200,31,Fear,2018-02-24,Fear,
1519536600,33,Fear,2018-02-25,Fear,
1519623000,37,Fear,2018-02-26,Fear,
1519709400,44,Fear,2018-02-27,Fear,
1519795800,41,Fear,2018-02-28,Fear,
1519882200,38,Fear,2018-03-01,Fear,
1519968600,47,Neutral,2018-03-02,Fear,Fear→Neutral
1520055000,56,Greed,2018-03-03,Neutral,Neutral→Greed
1520141400,44,Fear,2018-03-04,Greed,Greed→Fear
1520227800,55,Greed,2018-03-05,Fear,Fear→Greed
1520314200,59,Greed,2018-03-06,Greed,
1520400600,37,Fear,2018-03-07,Greed,Greed→Fear
1520487000,39,Fear,2018-03-08,Fear,
1520573400,37,Fear,2018-03-09,Fear,
1520659800,39,Fear,2018-03-10,Fear,
1520746200,40,Fear,2018-03-11,Fear,
1520832600,41,Fear,2018-03-12,Fear,
1520919000,41,Fear,2018-03-13,Fear,
1521005400,40,Fear,2018-03-14,Fear,
1521091800,32,Fear,2018-03-15,Fear,
1521178200,33,Fear,2018-03-16,Fear,
1521264600,31,Fear,2018-03-17,Fear,
1521351000,29,Fear,2018-03-18,Fear,
1521437400,29,Fear,2018-03-19,Fear,
1521523800,37,Fear,2018-03-20,Fear,
1521610200,36,Fear,2018-03-21,Fear,
1521696600,36,Fear,2018-03-22,Fear,
1521783000,28,Fear,2018-03-23,Fear,
1521869400,32,Fear,2018-03-24,Fear,
1521955800,30,Fear,2018-03-25,Fear,
1522042200,31,Fear,2018-03-26,Fear,
1522128600,24,Extreme Fear,2018-03-27,Fear,Fear→Extreme Fear
1522215000,24,Extreme Fear,2018-03-28,Extreme Fear,
1522301400,18,Extreme Fear,2018-03-29,Extreme Fear,
1522387800,12,Extreme Fear,2018-03-30,Extreme Fear,
1522474200,16,Extreme Fear,2018-03-31,Extreme Fear,
1522560600,16,Extreme Fear,2018-04-01,Extreme Fear,
1522647000,11,Extreme Fear,2018-04-02,Extreme Fear,
1522733400,22,Extreme Fear,2018-04-03,Extreme Fear,
1522819800,22,Extreme Fear,2018-04-04,Extreme Fear,
1522906200,17,Extreme Fear,2018-04-05,Extreme Fear,
1522992600,19,Extreme Fear,2018-04-06,Extreme Fear,
