date,total_trades,total_pnl,mean_pnl,median_price,total_volume_usd,value,classification
2023-01-05,3,0.0,0.0,1897.9,477.0,63,Greed
2023-05-12,9,0.0,0.0,2230.1,50005.83,75,Extreme Greed
2024-01-01,18,-129.53146,-7.196192222222223,2295.85,264239.52999999997,65,Greed
2024-01-02,6,0.0,0.0,0.04446,2008.18,63,Greed
2024-01-03,137,8244.241409,60.176944591240876,2.279,472974.7,80,Extreme Greed
2024-01-04,77,2507.963406,32.57095332467532,0.58887,339470.47,79,Extreme Greed
2024-01-05,14,0.0,0.0,2933.25,87025.45,54,Neutral
2024-01-06,25,91.510419,3.66041676,1.1213,12834.62,72,Greed
2024-01-07,64,5065.839308,79.1537391875,3.1701,362670.14999999997,53,Neutral
2024-01-08,57,167.080017,2.9312283684210527,3118.1,227774.53,52,Neutral
2024-01-09,12,137.433093,11.452757750000002,1.48535,12359.68,26,Fear
2024-01-10,4,0.0,0.0,62044.5,139954.32,50,Neutral
2024-01-11,23,1040.475736,45.238075478260875,0.51787,260981.03,75,Extreme Greed
2024-01-12,416,40886.364494,98.28453003365385,3.36895,814711.82,81,Extreme Greed
2024-02-01,17,783.979116,46.11641858823529,0.095808,121348.74,71,Greed
2024-02-02,42,456.423473,10.867225547619048,2301.45,474278.43,63,Greed
2024-02-03,31,230.90060000000005,7.448406451612905,1.3068,63197.56,80,Extreme Greed
2024-02-04,41,883.760812,21.555141756097562,3360.2,239664.50999999998,79,Extreme Greed
2024-02-06,93,192.906947,2.074268247311828,1.36,29464.51,73,Greed
2024-02-07,18,2421.253116,134.514062,3.7,33347.47,51,Neutral
2024-02-08,63,782.3681909999999,12.418542714285714,2999.3,396320.37,57,Greed
2024-02-09,2,0.0,0.0,2426.1,30000.42,26,Fear
2024-02-10,4,0.0,0.0,60911.0,99954.34,42,Fear
2024-02-11,2,0.0,0.0,68880.0,40000.0,72,Greed
2024-02-12,270,18489.604313,68.48001597407408,2.64785,585243.56,80,Extreme Greed
2024-03-01,67,866.015507,12.925604582089552,9.2032,394499.36,70,Greed
2024-03-02,56,223.30918699999998,3.9876640535714283,42982.5,603820.0,60,Greed
2024-03-03,79,8361.086245,105.83653474683545,0.038461,390745.68,83,Extreme Greed
2024-03-04,4,126.7884,31.6971,8.37125,16887.57,71,Greed
2024-03-05,36,5306.017045,147.3893623611111,3064.4,282682.64999999997,48,Neutral
2024-03-06,70,562.808208,8.040117257142859,1.3623,21466.86,73,Greed
2024-03-07,18,1118.387284,62.132626888888886,3302.45,179600.66,50,Neutral
2024-03-08,37,464.1897,12.545667567567568,2964.3,290532.86,37,Fear
2024-03-10,9,100.375782,11.152864666666666,3.4501,132935.69,37,Fear
2024-03-11,6,0.0,0.0,67611.0,129055.66,74,Greed
2024-03-12,374,23576.539285,63.03887509358289,9.04395,1084666.53,76,Extreme Greed
2024-04-01,5,-67.60364,-13.520728,2211.5,99792.54000000001,68,Greed
2024-04-02,35,47.62389499999999,1.360682714285714,2300.7,203187.53,60,Greed
2024-04-03,300,27799.775742,92.66591914,0.0465965,1577996.87,82,Extreme Greed
2024-04-04,32,0.0,0.0,3428.0,95987.73,70,Greed
2024-04-05,9,0.0,0.0,3117.1,58998.75,67,Greed
2024-04-06,53,52.211438,0.9851214716981133,10.43,24243.41,73,Greed
2024-04-07,25,0.0,0.0,3161.2,430568.01,44,Fear
2024-04-08,127,-122672.000883,-965.9212667952756,2663.6,1207744.07,34,Fear
2024-04-09,34,1065.785132,31.346621529411763,3.09265,131480.97,27,Fear
2024-04-10,1,0.0,0.0,0.0011,0.34,41,Fear
2024-04-11,36,2799.410474,77.76140205555555,68671.5,451811.97,70,Greed
2024-04-12,319,292891.815021,918.1561599404388,0.53533,769287.65,78,Extreme Greed
2024-05-01,66,164.141565,2.486993409090909,43541.0,1703942.66,72,Greed
2024-05-02,72,-33.45419400000003,-0.4646415833333337,2304.8500000000004,770198.26,60,Greed
2024-05-03,180,19791.026041,109.95014467222222,0.0356,841810.32,90,Extreme Greed
2024-05-04,100,10706.484306,107.06484306,2.8705,503791.8,79,Extreme Greed
2024-05-05,6,0.916,0.15266666666666667,3144.1499999999996,24068.350000000002,69,Greed
2024-05-06,54,56.055506,1.038064925925926,4.99965,25350.77,75,Extreme Greed
2024-05-07,32,0.0,0.0,2869.25,272289.89,29,Fear
2024-05-08,80,-13013.665169,-162.6708146125,2410.0,420495.4,26,Fear
